source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
python,T,19,8,0,8,T,0.031250,0.750000,0.156250
python,T,19,8,1,0,T,0.031250,1.000000,0.281250
python,T,19,8,2,0,T,0.031250,1.000000,0.281250
python,T,0,13,0,13,T,0.062500,0.593750,0.187500
python,T,0,13,1,0,T,0.031250,1.000000,0.281250
python,T,0,13,2,0,T,0.031250,1.000000,0.281250
python,T,1,13,0,13,T,-0.062500,0.593750,0.250000
python,T,1,13,1,0,T,0.031250,1.000000,0.281250
python,T,1,13,2,0,T,0.031250,1.000000,0.281250
python,T,2,13,0,13,T,-0.062500,0.593750,0.062500
python,T,2,13,1,0,T,0.031250,1.000000,0.281250
python,T,2,13,2,0,T,0.031250,1.000000,0.281250
python,T,3,13,0,13,T,0.000000,0.593750,0.125000
python,T,3,13,1,0,T,0.031250,1.000000,0.281250
python,T,3,13,2,0,T,0.031250,1.000000,0.281250
python,T,4,13,0,13,T,0.000000,0.593750,0.187500
python,T,4,13,1,0,T,0.031250,1.000000,0.281250
python,T,4,13,2,0,T,0.031250,1.000000,0.281250
python,T,5,13,0,13,T,0.187500,0.593750,0.125000
python,T,5,13,1,0,T,0.031250,1.000000,0.281250
python,T,5,13,2,0,T,0.031250,1.000000,0.281250
python,T,6,13,0,13,T,0.000000,0.593750,0.250000
python,T,6,13,1,0,T,0.031250,1.000000,0.281250
python,T,6,13,2,0,T,0.031250,1.000000,0.281250
python,T,7,13,0,13,T,-0.062500,0.593750,0.250000
python,T,7,13,1,0,T,0.031250,1.000000,0.281250
python,T,7,13,2,0,T,0.031250,1.000000,0.281250
python,T,8,13,0,13,T,0.062500,0.593750,0.312500
python,T,8,13,1,0,T,0.031250,1.000000,0.281250
python,T,8,13,2,0,T,0.031250,1.000000,0.281250
python,T,9,13,0,13,T,0.062500,0.593750,0.375000
python,T,9,13,1,0,T,0.031250,1.000000,0.281250
python,T,9,13,2,0,T,0.031250,1.000000,0.281250
python,T,10,13,0,13,T,0.125000,0.593750,0.187500
python,T,10,13,1,0,T,0.031250,1.000000,0.281250
python,T,10,13,2,0,T,0.031250,1.000000,0.281250
python,T,11,13,0,13,T,-0.062500,0.593750,0.250000
python,T,11,13,1,0,T,0.031250,1.000000,0.281250
python,T,11,13,2,0,T,0.031250,1.000000,0.281250
python,T,12,13,0,13,T,-0.062500,0.593750,0.250000
python,T,12,13,1,0,T,0.031250,1.000000,0.281250
python,T,12,13,2,0,T,0.031250,1.000000,0.281250
python,T,13,13,0,13,T,0.062500,0.593750,0.437500
python,T,13,13,1,0,T,0.031250,1.000000,0.281250
python,T,13,13,2,0,T,0.031250,1.000000,0.281250
python,T,14,13,0,13,T,0.187500,0.593750,0.312500
python,T,14,13,1,0,T,0.031250,1.000000,0.281250
python,T,14,13,2,0,T,0.031250,1.000000,0.281250
python,T,15,13,0,13,T,-0.062500,0.593750,0.187500
python,T,15,13,1,0,T,0.031250,1.000000,0.281250
python,T,15,13,2,0,T,0.031250,1.000000,0.281250
python,T,16,13,0,13,T,0.062500,0.593750,0.250000
python,T,16,13,1,0,T,0.031250,1.000000,0.281250
python,T,16,13,2,0,T,0.031250,1.000000,0.281250
python,T,17,13,0,13,T,0.125000,0.593750,0.312500
python,T,17,13,1,0,T,0.031250,1.000000,0.281250
python,T,17,13,2,0,T,0.031250,1.000000,0.281250
python,T,18,13,0,13,T,0.062500,0.593750,0.062500
python,T,18,13,1,0,T,0.031250,1.000000,0.281250
python,T,18,13,2,0,T,0.031250,1.000000,0.281250
python,T,19,13,0,13,T,0.125000,0.593750,0.312500
python,T,19,13,1,0,T,0.031250,1.000000,0.281250
python,T,19,13,2,0,T,0.031250,1.000000,0.281250
python,X,0,8,0,8,X,0.312500,0.343750,0.750000
python,X,0,8,1,0,X,0.187500,0.281250,1.000000
python,X,0,8,2,0,X,0.187500,0.281250,1.000000
python,X,1,8,0,8,X,0.062500,0.218750,0.750000
python,X,1,8,1,0,X,0.187500,0.281250,1.000000
python,X,1,8,2,0,X,0.187500,0.281250,1.000000
python,X,2,8,0,8,X,0.250000,0.218750,0.750000
python,X,2,8,1,0,X,0.187500,0.281250,1.000000
python,X,2,8,2,0,X,0.187500,0.281250,1.000000
python,X,3,8,0,8,X,0.187500,0.156250,0.750000
python,X,3,8,1,0,X,0.187500,0.281250,1.000000
python,X,3,8,2,0,X,0.187500,0.281250,1.000000
python,X,4,8,0,8,X,0.125000,0.218750,0.750000
python,X,4,8,1,0,X,0.187500,0.281250,1.000000
