idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
626,42,-10,6804,5417,2643,5286,2381,4762,1333,2666,6164,4777,2003,4646,1741,4122,693,2026
627,53,-21,5332,2473,4947,1702,3404,6808,5425,2659,4096,1129,4096,358,2060,5464,4096,1315
628,49,-17,5319,2446,4893,1595,3190,6380,4568,944,4231,1358,4096,507,2102,5292,4096,0
629,59,-27,1889,3778,7556,6920,5648,3104,6209,4226,161,2050,5828,5192,4096,1376,4481,4096
630,32,0,260,521,1042,2085,4171,151,302,605,260,521,1042,2085,4171,151,302,605
631,58,-26,1210,2421,4842,1493,2987,5974,3757,7514,0,757,4096,0,1323,4310,2093,5850
632,52,-20,6836,5480,2769,5538,2884,5768,3344,6689,5556,4200,1489,4258,1604,4488,2064,5409
633,34,-2,5186,2180,4361,530,1061,2122,4244,297,5058,2052,4233,402,933,1994,4116,169
634,41,-9,595,1190,2380,4761,1331,2663,5326,2460,19,614,1804,4185,755,2087,4750,1884
635,57,-25,4921,1650,3301,6602,5012,1833,3666,7333,4096,50,1701,5002,4096,233,2066,5733
636,41,-9,6474,4757,1323,2646,5293,2394,4788,1385,5898,4181,747,2070,4717,1818,4212,809
637,52,-20,2771,5543,2894,5788,3385,6771,5351,2511,1491,4263,1614,4508,2105,5491,4096,1231
638,61,-29,5022,1853,3707,7414,6636,5080,1968,3937,4096,0,1851,5558,4780,4096,112,2081
639,59,-27,7875,7558,6925,5659,3126,6253,4314,437,6147,5830,5197,4096,1398,4525,4096,0
640,54,-22,875,1751,3502,7004,5816,3441,6883,5574,0,343,2094,5596,4408,2033,5475,4166
641,56,-24,2957,5914,3637,7275,6359,4526,861,1722,1421,4378,2101,5739,4823,4096,0,186
642,58,-26,3444,6888,5585,2978,5957,3722,7444,6696,1780,5224,4096,1314,4293,2058,5780,5032
643,40,-8,5201,2211,4423,654,1308,2617,5234,2276,4689,1699,4096,142,796,2105,4722,1764
644,57,-25,4552,912,1825,3651,7303,6415,4639,1086,4096,0,225,2051,5703,4815,4096,0
645,62,-30,2173,4347,502,1004,2009,4019,8038,7884,253,4096,0,0,89,2099,6118,5964
646,54,-22,7577,6963,5735,3279,6559,4926,1661,3323,6169,5555,4327,1871,5151,4096,253,1915
647,62,-30,6646,5101,2011,4023,8047,7903,7615,7039,4726,4096,91,2103,6127,5983,5695,5119
648,63,-31,5886,3581,7163,6134,4076,8153,8115,8039,4096,1597,5179,4150,2092,6169,6131,6055
649,59,-27,7886,7581,6970,5749,3307,6614,5037,1882,6158,5853,5242,4096,1579,4886,4096,154
650,58,-26,3765,7531,6870,5549,2907,5815,3439,6878,2101,5867,5206,4096,1243,4151,1775,5214
651,60,-28,5564,2937,5874,3557,7115,6038,3884,7768,4096,1145,4096,1765,5323,4246,2092,5976
652,50,-18,7344,6496,4800,1408,2817,5634,3077,6155,6192,5344,4096,256,1665,4482,1925,5003
653,45,-13,4118,45,90,181,363,726,1452,2905,4096,0,0,0,0,0,620,2073
654,53,-21,5810,3429,6858,5524,2857,5714,3236,6472,4466,2085,5514,4180,1513,4370,1892,5128
