test_id,subtest,cyc,stored_E,f_val,op_code,result,uf,ovf,rollover,extra
13,1,65,13,1,3,833,0,0,0,833
13,2,65,13,1,1,834,0,0,0,0
13,3,65,13,1,3,769,0,0,0,0
13,0,66,13,2,3,0,1,0,0,0
13,1,66,13,2,3,834,0,0,0,834
13,2,66,13,2,1,836,0,0,0,0
13,3,66,13,2,3,770,0,0,0,0
13,0,67,13,3,3,0,1,0,0,0
13,1,67,13,3,3,835,0,0,0,835
13,2,67,13,3,1,838,0,0,0,0
13,3,67,13,3,3,771,0,0,0,0
13,0,68,13,4,3,0,1,0,0,0
13,1,68,13,4,3,836,0,0,0,836
13,2,68,13,4,1,840,0,0,0,0
13,3,68,13,4,3,772,0,0,0,0
13,0,69,13,5,3,0,1,0,0,0
13,1,69,13,5,3,837,0,0,0,837
13,2,69,13,5,1,842,0,0,0,0
13,3,69,13,5,3,773,0,0,0,0
13,0,70,13,6,3,0,1,0,0,0
13,1,70,13,6,3,838,0,0,0,838
13,2,70,13,6,1,844,0,0,0,0
13,3,70,13,6,3,774,0,0,0,0
13,0,71,13,7,3,0,1,0,0,0
13,1,71,13,7,3,839,0,0,0,839
13,2,71,13,7,1,846,0,0,0,0
13,3,71,13,7,3,775,0,0,0,0
13,0,72,13,8,3,0,1,0,0,0
13,1,72,13,8,3,840,0,0,0,840
13,2,72,13,8,1,848,0,0,0,0
13,3,72,13,8,3,776,0,0,0,0
13,0,73,13,9,3,0,1,0,0,0
13,1,73,13,9,3,841,0,0,0,841
13,2,73,13,9,1,850,0,0,0,0
13,3,73,13,9,3,777,0,0,0,0
13,0,74,13,10,3,0,1,0,0,0
13,1,74,13,10,3,842,0,0,0,842
13,2,74,13,10,1,852,0,0,0,0
13,3,74,13,10,3,778,0,0,0,0
13,0,75,13,11,3,0,1,0,0,0
13,1,75,13,11,3,843,0,0,0,843
13,2,75,13,11,1,854,0,0,0,0
13,3,75,13,11,3,779,0,0,0,0
13,0,76,13,12,3,0,1,0,0,0
13,1,76,13,12,3,844,0,0,0,844
13,2,76,13,12,1,856,0,0,0,0
13,3,76,13,12,3,780,0,0,0,0
13,0,77,13,13,3,0,1,0,0,0
13,1,77,13,13,3,845,0,0,0,845
13,2,77,13,13,1,858,0,0,0,0
13,3,77,13,13,3,781,0,0,0,0
13,0,78,13,14,3,0,1,0,0,0
13,1,78,13,14,3,846,0,0,0,846
13,2,78,13,14,1,860,0,0,0,0
13,3,78,13,14,3,782,0,0,0,0
13,0,79,13,15,3,0,1,0,0,0
13,1,79,13,15,3,847,0,0,0,847
13,2,79,13,15,1,862,0,0,0,0
13,3,79,13,15,3,783,0,0,0,0
13,0,80,13,16,3,0,1,0,0,0
13,1,80,13,16,3,848,0,0,0,848
13,2,80,13,16,1,864,0,0,0,0
13,3,80,13,16,3,784,0,0,0,0
13,0,81,13,17,3,0,1,0,0,0
13,1,81,13,17,3,849,0,0,0,849
13,2,81,13,17,1,866,0,0,0,0
13,3,81,13,17,3,785,0,0,0,0
13,0,82,13,18,3,0,1,0,0,0
13,1,82,13,18,3,850,0,0,0,850
13,2,82,13,18,1,868,0,0,0,0
13,3,82,13,18,3,786,0,0,0,0
13,0,83,13,19,3,0,1,0,0,0
13,1,83,13,19,3,851,0,0,0,851
13,2,83,13,19,1,870,0,0,0,0
13,3,83,13,19,3,787,0,0,0,0
13,0,84,13,20,3,0,1,0,0,0
13,1,84,13,20,3,852,0,0,0,852
13,2,84,13,20,1,872,0,0,0,0
13,3,84,13,20,3,788,0,0,0,0
13,0,85,13,21,3,0,1,0,0,0
13,1,85,13,21,3,853,0,0,0,853
13,2,85,13,21,1,874,0,0,0,0
13,3,85,13,21,3,789,0,0,0,0
13,0,86,13,22,3,0,1,0,0,0
13,1,86,13,22,3,854,0,0,0,854
13,2,86,13,22,1,876,0,0,0,0
13,3,86,13,22,3,790,0,0,0,0
13,0,87,13,23,3,0,1,0,0,0
13,1,87,13,23,3,855,0,0,0,855
13,2,87,13,23,1,878,0,0,0,0
13,3,87,13,23,3,791,0,0,0,0
13,0,88,13,24,3,0,1,0,0,0
13,1,88,13,24,3,856,0,0,0,856
13,2,88,13,24,1,880,0,0,0,0
13,3,88,13,24,3,792,0,0,0,0
13,0,89,13,25,3,0,1,0,0,0
13,1,89,13,25,3,857,0,0,0,857
13,2,89,13,25,1,882,0,0,0,0
13,3,89,13,25,3,793,0,0,0,0
13,0,90,13,26,3,0,1,0,0,0
13,1,90,13,26,3,858,0,0,0,858
13,2,90,13,26,1,884,0,0,0,0
13,3,90,13,26,3,794,0,0,0,0
13,0,91,13,27,3,0,1,0,0,0
13,1,91,13,27,3,859,0,0,0,859
13,2,91,13,27,1,886,0,0,0,0
13,3,91,13,27,3,795,0,0,0,0
13,0,92,13,28,3,0,1,0,0,0
13,1,92,13,28,3,860,0,0,0,860
13,2,92,13,28,1,888,0,0,0,0
13,3,92,13,28,3,796,0,0,0,0
13,0,93,13,29,3,0,1,0,0,0
13,1,93,13,29,3,861,0,0,0,861
13,2,93,13,29,1,890,0,0,0,0
13,3,93,13,29,3,797,0,0,0,0
13,0,94,13,30,3,0,1,0,0,0
13,1,94,13,30,3,862,0,0,0,862
13,2,94,13,30,1,892,0,0,0,0
13,3,94,13,30,3,798,0,0,0,0
13,0,95,13,31,3,0,1,0,0,0
13,1,95,13,31,3,863,0,0,0,863
13,2,95,13,31,1,894,0,0,0,0
13,3,95,13,31,3,799,0,0,0,0
13,0,96,13,32,3,0,1,0,0,0
13,1,96,13,32,3,864,0,0,0,864
13,2,96,13,32,1,896,0,0,1,0
13,3,96,13,32,3,800,0,0,0,0
13,0,97,13,33,3,0,1,0,0,0
13,1,97,13,33,3,865,0,0,0,865
13,2,97,13,33,1,897,0,0,1,0
13,3,97,13,33,3,801,0,0,0,0
13,0,98,13,34,3,0,1,0,0,0
13,1,98,13,34,3,866,0,0,0,866
13,2,98,13,34,1,898,0,0,1,0
13,3,98,13,34,3,802,0,0,0,0
13,0,99,13,35,3,0,1,0,0,0
13,1,99,13,35,3,867,0,0,0,867
