cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
106,B,083b,03c5,MUL,16,3,0402,000087db,00007fb9,0,0,0,TRANSITION
107,C,0600,0600,ADD,24,2,0600,000087db,000087db,0,0,0,STABLE
108,A,0817,0910,MUL,36,0,092c,000087db,000087db,0,0,0,STABLE
109,B,0818,042f,MUL,17,0,044c,00009107,000087db,0,0,0,TRANSITION
110,C,0600,07c0,MUL,23,2,05c0,00009107,00009107,0,0,0,STABLE
111,A,083d,0a1f,MUL,41,0,0a5c,00009107,00009107,0,0,0,STABLE
112,B,0805,047a,MUL,18,2,0481,00009b63,00009107,0,0,0,TRANSITION
113,C,05c0,07c0,MUL,22,2,0580,00009b63,00009b63,0,0,0,STABLE
114,A,082b,0930,MUL,37,0,095d,00009b63,00009b63,0,0,0,STABLE
115,B,082f,03d6,MUL,16,3,040a,0000a4c0,00009b63,0,0,0,TRANSITION
116,C,0580,07c0,MUL,21,2,0540,0000a4c0,0000a4c0,0,0,0,STABLE
117,A,081a,073f,MUL,29,0,0759,0000a4c0,0000a4c0,0,0,0,STABLE
118,B,083a,03b4,MUL,15,0,03ee,0000ac19,0000a4c0,0,0,0,COLLAPSE
119,C,0540,0840,MUL,22,2,0580,0000ac19,0000ac19,0,0,0,STABLE
120,A,0810,0500,ADD,32,0,0810,0000ac19,0000ac19,0,0,0,STABLE
121,B,0816,0320,MUL,13,2,0340,0000b429,0000ac19,0,0,0,COLLAPSE
122,C,0580,07c0,MUL,21,2,0540,0000b429,0000b429,0,0,0,STABLE
123,A,0800,0610,SUB,21,0,0540,0000b429,0000b429,0,0,0,STABLE
124,B,0834,0341,MUL,31,3,07e0,0000b429,0000b429,0,0,0,STABLE
125,C,0540,07c0,MUL,20,2,0500,0000b429,0000b429,0,0,0,STABLE
126,A,0807,071f,MUL,28,0,0729,0000b429,0000b429,0,0,0,STABLE
127,B,0820,038e,MUL,14,0,03b5,0000bb52,0000b429,0,0,0,COLLAPSE
128,C,0500,07c0,MUL,19,2,04c0,0000bb52,0000bb52,0,0,0,TRANSITION
129,A,083a,0800,MUL,32,0,083a,0000bb52,0000bb52,0,0,0,STABLE
130,B,0801,03f4,MUL,15,2,03f5,0000c38c,0000bb52,0,0,0,COLLAPSE
131,C,04c0,04c0,ADD,19,2,04c0,0000c38c,0000c38c,0,0,0,TRANSITION
132,A,0811,0910,MUL,36,0,0925,0000c38c,0000c38c,0,0,0,STABLE
133,B,080e,0422,MUL,16,3,0437,0000ccb1,0000c38c,0,0,0,TRANSITION
134,C,04c0,07c0,MUL,18,2,0480,0000ccb1,0000ccb1,0,0,0,TRANSITION
135,A,0809,0a1f,MUL,40,0,0a2c,0000ccb1,0000ccb1,0,0,0,STABLE
136,B,0834,0453,MUL,18,0,048b,0000d6dd,0000ccb1,0,0,0,TRANSITION
137,C,0480,07c0,MUL,17,2,0440,0000d6dd,0000d6dd,0,0,0,TRANSITION
138,A,080c,0930,ADD,32,0,083c,0000d6dd,0000d6dd,0,0,0,STABLE
139,B,0822,03d9,MUL,16,2,0404,0000df19,0000d6dd,0,0,0,TRANSITION
140,C,0440,07c0,MUL,16,2,0400,0000df19,0000df19,0,0,0,TRANSITION
141,A,0824,073f,SUB,16,0,0400,0000df19,0000df19,0,0,0,TRANSITION
142,B,0813,0388,MUL,31,3,07ca,0000df19,0000df19,0,0,0,STABLE
143,C,0400,0840,MUL,17,2,0440,0000df19,0000df19,0,0,0,TRANSITION
144,A,0823,0500,MUL,20,0,0523,00000000,0000df19,0,0,0,STABLE
