cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
1610,C,06c0,07c0,MUL,26,0,0680,0000716b,0000716b,0,0,0,STABLE
1611,A,0834,0610,MUL,25,0,0648,0000716b,0000716b,0,0,0,STABLE
1612,B,082b,0b68,MUL,46,0,0b96,000077b3,0000716b,0,0,0,TRANSITION
1613,C,0680,07c0,MUL,25,2,0640,000077b3,000077b3,0,0,0,STABLE
1614,A,0823,071f,ADD,33,0,0841,000077b3,000077b3,0,0,1,STABLE
1615,B,081d,0b86,MUL,46,2,0ba5,00007ff4,000077b3,0,0,0,TRANSITION
1616,C,0640,07c0,MUL,24,2,0600,00007ff4,00007ff4,0,0,0,STABLE
1617,A,0819,0800,SUB,32,0,0819,00007ff4,00007ff4,0,0,0,STABLE
1618,B,0828,0bf2,MUL,48,3,0c1c,0000880d,00007ff4,0,0,0,SATURATE
1619,C,0600,0600,ADD,24,2,0600,0000880d,0000880d,0,0,0,STABLE
1620,A,080b,0910,MUL,36,0,091d,0000880d,0000880d,0,0,0,STABLE
1621,B,0806,0c16,MUL,48,0,0c1e,0000912a,0000880d,0,0,0,SATURATE
1622,C,0600,07c0,MUL,23,2,05c0,0000912a,0000912a,0,0,0,STABLE
1623,A,0818,0a1f,MUL,41,0,0a41,0000912a,0000912a,0,0,0,STABLE
1624,B,0832,0c71,MUL,50,2,0ca4,00009b6b,0000912a,0,0,0,SATURATE
1625,C,05c0,07c0,MUL,22,2,0580,00009b6b,00009b6b,0,0,0,STABLE
1626,A,0805,0930,MUL,36,0,0938,00009b6b,00009b6b,0,0,0,STABLE
1627,B,0816,0bca,MUL,47,3,0be3,0000a4a3,00009b6b,0,0,0,TRANSITION
1628,C,0580,07c0,MUL,21,2,0540,0000a4a3,0000a4a3,0,0,0,STABLE
1629,A,0829,073f,MUL,29,0,0768,0000a4a3,0000a4a3,0,0,0,STABLE
1630,B,0831,0b93,MUL,47,0,0bc9,0000ac0b,0000a4a3,0,0,0,TRANSITION
1631,C,0540,0840,MUL,22,2,0580,0000ac0b,0000ac0b,0,0,0,STABLE
1632,A,080d,0500,ADD,32,0,080d,0000ac0b,0000ac0b,0,0,0,STABLE
1633,B,080a,031b,MUL,12,2,0329,0000b418,0000ac0b,0,0,0,COLLAPSE
1634,C,0580,07c0,MUL,21,2,0540,0000b418,0000b418,0,0,0,STABLE
1635,A,082e,0610,SUB,32,0,081e,0000b418,0000b418,0,0,0,STABLE
1636,B,0813,035d,MUL,13,3,0378,0000bc36,0000b418,0,0,0,COLLAPSE
1637,C,0540,07c0,MUL,20,2,0500,0000bc36,0000bc36,0,0,0,STABLE
1638,A,0835,071f,MUL,29,0,0756,0000bc36,0000bc36,0,0,0,STABLE
1639,B,081b,03ab,MUL,15,0,03cc,0000c38c,0000bc36,0,0,0,COLLAPSE
1640,C,0500,07c0,MUL,19,2,04c0,0000c38c,0000c38c,0,0,0,TRANSITION
1641,A,082f,0800,MUL,32,0,082f,0000c38c,0000c38c,0,0,0,STABLE
1642,B,081d,03de,MUL,16,2,0404,0000cbbb,0000c38c,0,0,0,TRANSITION
1643,C,04c0,04c0,ADD,19,2,04c0,0000cbbb,0000cbbb,0,0,0,TRANSITION
1644,A,083a,0910,MUL,37,0,094c,0000cbbb,0000cbbb,0,0,0,STABLE
1645,B,082b,0435,MUL,17,3,0461,0000d507,0000cbbb,0,0,0,TRANSITION
1646,C,04c0,07c0,MUL,18,2,0480,0000d507,0000d507,0,0,0,TRANSITION
1647,A,0817,0a1f,MUL,41,0,0a40,0000d507,0000d507,0,0,0,STABLE
1648,B,081e,046e,MUL,18,0,0490,0000df47,0000d507,0,0,0,TRANSITION
1649,C,0480,07c0,MUL,17,2,0440,0000df47,0000df47,0,0,0,TRANSITION
1650,A,083b,0930,ADD,33,0,0855,0000df47,0000df47,0,0,1,STABLE
1651,B,0835,03f6,MUL,16,2,042b,0000e79c,0000df47,0,0,0,TRANSITION
1652,C,0440,07c0,MUL,16,2,0400,0000e79c,0000e79c,0,0,0,TRANSITION
1653,A,0818,073f,SUB,16,0,0400,0000e79c,0000e79c,0,0,0,TRANSITION
1654,B,082e,03b0,MUL,30,3,07a4,0000e79c,0000e79c,0,0,0,STABLE
1655,C,0400,0840,MUL,17,2,0440,0000e79c,0000e79c,0,0,0,TRANSITION
1656,A,0801,0500,MUL,20,0,0501,00000000,0000e79c,0,0,0,STABLE
1657,B,0836,0303,MUL,12,0,033b,00000501,00000000,0,0,0,COLLAPSE
1658,C,0800,07c0,MUL,31,0,07c0,00000501,00000501,0,0,0,STABLE
1659,A,080d,0610,MUL,24,0,0620,00000cc1,00000501,0,0,0,STABLE
1660,B,0830,035b,MUL,14,2,038f,000012e1,00000cc1,0,0,0,COLLAPSE
1661,C,07c0,07c0,MUL,30,0,0780,000012e1,000012e1,0,0,0,STABLE
1662,A,082e,071f,MUL,29,0,0751,00001a61,000012e1,0,0,0,STABLE
1663,B,0803,039d,MUL,14,3,03a1,000021b2,00001a61,0,0,0,COLLAPSE
1664,C,0780,07c0,MUL,29,0,0740,000021b2,000021b2,0,0,0,STABLE
1665,A,0837,0800,MUL,32,0,0837,000028f2,000021b2,0,0,0,STABLE
1666,B,081b,03ef,MUL,16,0,040e,00003129,000028f2,0,0,0,TRANSITION
1667,C,0740,0740,ADD,29,0,0740,00003129,00003129,0,0,0,STABLE
1668,A,083f,0910,ADD,33,0,0847,00003869,00003129,0,0,1,STABLE
1669,B,081d,043f,MUL,17,2,045c,000040b0,00003869,0,0,0,TRANSITION
1670,C,0740,07c0,MUL,28,0,0700,000040b0,000040b0,0,0,0,STABLE
1671,A,083e,0a1f,SUB,32,0,081f,000047b0,000040b0,0,0,0,STABLE
1672,B,082f,047d,MUL,18,3,04ac,00004fcf,000047b0,0,0,0,TRANSITION
1673,C,0700,07c0,MUL,27,0,06c0,00004fcf,00004fcf,0,0,0,STABLE
1674,A,0837,0930,MUL,37,0,0968,0000568f,00004fcf,0,0,0,STABLE
1675,B,083f,03ef,MUL,16,0,042e,00005ff7,0000568f,0,0,0,TRANSITION
1676,C,06c0,07c0,MUL,26,0,0680,00005ff7,00005ff7,0,0,0,STABLE
1677,A,083e,073f,MUL,29,0,077d,00006677,00005ff7,0,0,0,STABLE
1678,B,083d,03bd,MUL,15,2,03fa,00006df4,00006677,0,0,0,COLLAPSE
1679,C,0680,0840,MUL,27,0,06c0,00006df4,00006df4,0,0,0,STABLE
1680,A,0834,0500,MUL,20,0,0534,000074b4,00006df4,0,0,0,STABLE
1681,B,082f,0b28,MUL,45,3,0b5a,000079e8,000074b4,0,0,0,TRANSITION
1682,C,06c0,07c0,MUL,26,0,0680,000079e8,000079e8,0,0,0,STABLE
1683,A,0822,0610,MUL,24,0,063a,000079e8,000079e8,0,0,0,STABLE
1684,B,083d,0b45,MUL,46,0,0b83,00008022,000079e8,0,0,0,TRANSITION
1685,C,0680,07c0,MUL,25,2,0640,00008022,00008022,0,0,0,STABLE
1686,A,0816,071f,ADD,32,0,0835,00008022,00008022,0,0,0,STABLE
1687,B,0828,0bad,MUL,47,2,0bd8,00008857,00008022,0,0,0,TRANSITION
1688,C,0640,07c0,MUL,24,2,0600,00008857,00008857,0,0,0,STABLE
1689,A,0836,0800,SUB,32,0,0836,00008857,00008857,0,0,0,STABLE
1690,B,0805,0bec,MUL,47,3,0bf4,0000908d,00008857,0,0,0,TRANSITION
1691,C,0600,0600,ADD,24,2,0600,0000908d,0000908d,0,0,0,STABLE
1692,A,0830,0910,MUL,37,0,0946,0000908d,0000908d,0,0,0,STABLE
1693,B,082d,0c21,MUL,49,0,0c52,000099d3,0000908d,0,0,0,SATURATE
1694,C,0600,07c0,MUL,23,2,05c0,000099d3,000099d3,0,0,0,STABLE
1695,A,0806,0a1f,MUL,40,0,0a27,000099d3,000099d3,0,0,0,STABLE
1696,B,082c,0c4c,MUL,50,2,0c80,0000a3fa,000099d3,0,0,0,SATURATE
1697,C,05c0,07c0,MUL,22,2,0580,0000a3fa,0000a3fa,0,0,0,STABLE
1698,A,0832,0930,MUL,37,0,0963,0000a3fa,0000a3fa,0,0,0,STABLE
1699,B,0821,0be4,MUL,48,3,0c0b,0000ad5d,0000a3fa,0,0,0,SATURATE
1700,C,0580,07c0,MUL,21,2,0540,0000ad5d,0000ad5d,0,0,0,STABLE
1701,A,0811,073f,MUL,29,0,0750,0000ad5d,0000ad5d,0,0,0,STABLE
1702,B,080c,0ba3,MUL,46,0,0bb5,0000b4ad,0000ad5d,0,0,0,TRANSITION
1703,C,0540,0840,MUL,22,2,0580,0000b4ad,0000b4ad,0,0,0,STABLE
1704,A,080e,0500,ADD,32,0,080e,0000b4ad,0000b4ad,0,0,0,STABLE
1705,B,0824,0b1d,MUL,45,2,0b48,0000bcbb,0000b4ad,0,0,0,TRANSITION
1706,C,0580,07c0,MUL,21,2,0540,0000bcbb,0000bcbb,0,0,0,STABLE
1707,A,0836,0610,SUB,32,0,0826,0000bcbb,0000bcbb,0,0,0,STABLE
1708,B,0823,0b6c,MUL,46,3,0b93,0000c4e1,0000bcbb,0,0,0,TRANSITION
1709,C,0540,07c0,MUL,20,2,0500,0000c4e1,0000c4e1,0,0,0,STABLE
1710,A,0832,071f,MUL,29,0,0754,0000c4e1,0000c4e1,0,0,0,STABLE
1711,B,081d,0ba5,MUL,47,0,0bc9,0000cc35,0000c4e1,0,0,0,TRANSITION
1712,C,0500,07c0,MUL,19,2,04c0,0000cc35,0000cc35,0,0,0,TRANSITION
1713,A,0816,0800,MUL,32,0,0816,0000cc35,0000cc35,0,0,0,STABLE
1714,B,082c,0bec,MUL,48,2,0c1b,0000d44b,0000cc35,0,0,0,SATURATE
1715,C,04c0,04c0,ADD,19,2,04c0,0000d44b,0000d44b,0,0,0,TRANSITION
1716,A,0831,0910,MUL,37,0,0946,0000d44b,0000d44b,0,0,0,STABLE
1717,B,0825,0c23,MUL,49,3,0c4e,0000dd91,0000d44b,0,0,0,SATURATE
1718,C,04c0,07c0,MUL,18,2,0480,0000dd91,0000dd91,0,0,0,TRANSITION
1719,A,080d,0a1f,MUL,40,0,0a32,0000dd91,0000dd91,0,0,0,STABLE
1720,B,082c,0c5a,MUL,50,0,0c8b,0000e7c3,0000dd91,0,0,0,SATURATE
1721,C,0480,07c0,MUL,17,2,0440,0000e7c3,0000e7c3,0,0,0,TRANSITION
1722,A,082b,0930,ADD,33,0,084d,0000e7c3,0000e7c3,0,0,1,STABLE
1723,B,0823,0bd6,MUL,48,2,0c02,0000f010,0000e7c3,0,0,0,SATURATE
1724,C,0440,07c0,MUL,16,2,0400,0000f010,0000f010,0,0,0,TRANSITION
1725,A,081b,073f,SUB,16,0,0400,0000f010,0000f010,0,0,0,TRANSITION
1726,B,081a,0bb7,MUL,30,3,07b0,0000f010,0000f010,0,0,0,STABLE
1727,C,0400,0840,MUL,17,2,0440,0000f010,0000f010,0,0,0,TRANSITION
1728,A,081c,0500,MUL,20,0,051c,00000000,0000f010,0,0,0,STABLE
1729,B,0816,0339,MUL,13,0,0351,0000051c,00000000,0,0,0,COLLAPSE
1730,C,0800,07c0,MUL,31,0,07c0,0000051c,0000051c,0,0,0,STABLE
1731,A,0827,0610,MUL,25,0,0640,00000cdc,0000051c,0,0,0,STABLE
1732,B,0837,034f,MUL,14,2,0389,0000131c,00000cdc,0,0,0,COLLAPSE
1733,C,07c0,07c0,MUL,30,0,0780,0000131c,0000131c,0,0,0,STABLE
1734,A,083f,071f,MUL,29,0,075e,00001a9c,0000131c,0,0,0,STABLE
1735,B,0839,03be,MUL,15,3,03f7,000021fa,00001a9c,0,0,0,COLLAPSE
1736,C,0780,07c0,MUL,29,0,0740,000021fa,000021fa,0,0,0,STABLE
1737,A,0839,0800,MUL,32,0,0839,0000293a,000021fa,0,0,0,STABLE
1738,B,080f,03f3,MUL,16,0,0406,00003173,0000293a,0,0,0,TRANSITION
1739,C,0740,0740,ADD,29,0,0740,00003173,00003173,0,0,0,STABLE
1740,A,080d,0910,ADD,32,0,081d,000038b3,00003173,0,0,0,STABLE
1741,B,083e,041a,MUL,17,2,0458,000040d0,000038b3,0,0,0,TRANSITION
1742,C,0740,07c0,MUL,28,0,0700,000040d0,000040d0,0,0,0,STABLE
1743,A,082b,0a1f,SUB,32,0,080c,000047d0,000040d0,0,0,0,STABLE
1744,B,0833,0457,MUL,18,3,048e,00004fdc,000047d0,0,0,0,TRANSITION
1745,C,0700,07c0,MUL,27,0,06c0,00004fdc,00004fdc,0,0,0,STABLE
1746,A,081d,0930,MUL,37,0,0951,0000569c,00004fdc,0,0,0,STABLE
1747,B,081a,03fb,MUL,16,0,0416,00005fed,0000569c,0,0,0,TRANSITION
1748,C,06c0,07c0,MUL,26,0,0680,00005fed,00005fed,0,0,0,STABLE
1749,A,082e,073f,MUL,29,0,076d,0000666d,00005fed,0,0,0,STABLE
1750,B,0817,039c,MUL,14,2,03bd,00006dda,0000666d,0,0,0,COLLAPSE
1751,C,0680,0840,MUL,27,0,06c0,00006dda,00006dda,0,0,0,STABLE
1752,A,0833,0500,MUL,20,0,0533,0000749a,00006dda,0,0,0,STABLE
1753,B,083b,0327,MUL,13,3,0362,000079cd,0000749a,0,0,0,COLLAPSE
1754,C,06c0,07c0,MUL,26,0,0680,000079cd,000079cd,0,0,0,STABLE
1755,A,081e,0610,MUL,24,0,0635,000079cd,000079cd,0,0,0,STABLE
1756,B,081c,037d,MUL,14,0,0399,00008002,000079cd,0,0,0,COLLAPSE
1757,C,0680,07c0,MUL,25,2,0640,00008002,00008002,0,0,0,STABLE
1758,A,0837,071f,ADD,33,0,084b,00008002,00008002,0,0,1,STABLE
1759,B,0827,03af,MUL,15,2,03d9,0000884d,00008002,0,0,0,COLLAPSE
1760,C,0640,07c0,MUL,24,2,0600,0000884d,0000884d,0,0,0,STABLE
1761,A,083e,0800,SUB,32,0,083e,0000884d,0000884d,0,0,0,STABLE
1762,B,083d,03fd,MUL,16,3,043a,0000908b,0000884d,0,0,0,TRANSITION
1763,C,0600,0600,ADD,24,2,0600,0000908b,0000908b,0,0,0,STABLE
1764,A,0835,0910,MUL,37,0,0949,0000908b,0000908b,0,0,0,STABLE
1765,B,082f,042b,MUL,17,0,045c,000099d4,0000908b,0,0,0,TRANSITION
1766,C,0600,07c0,MUL,23,2,05c0,000099d4,000099d4,0,0,0,STABLE
1767,A,082c,0a1f,MUL,41,0,0a50,000099d4,000099d4,0,0,0,STABLE
1768,B,083d,0459,MUL,18,2,0496,0000a424,000099d4,0,0,0,TRANSITION
1769,C,05c0,07c0,MUL,22,2,0580,0000a424,0000a424,0,0,0,STABLE
1770,A,0826,0930,MUL,37,0,0959,0000a424,0000a424,0,0,0,STABLE
1771,B,082b,03cd,MUL,16,3,0400,0000ad7d,0000a424,0,0,0,TRANSITION
1772,C,0580,07c0,MUL,21,2,0540,0000ad7d,0000ad7d,0,0,0,STABLE
1773,A,0836,073f,MUL,29,0,0775,0000ad7d,0000ad7d,0,0,0,STABLE
1774,B,0819,03ac,MUL,15,0,03cb,0000b4f2,0000ad7d,0,0,0,COLLAPSE
1775,C,0540,0840,MUL,22,2,0580,0000b4f2,0000b4f2,0,0,0,STABLE
1776,A,0833,0500,ADD,32,0,0833,0000b4f2,0000b4f2,0,0,0,STABLE
1777,B,080d,0b27,MUL,44,2,0b3b,0000bd25,0000b4f2,0,0,0,TRANSITION
1778,C,0580,07c0,MUL,21,2,0540,0000bd25,0000bd25,0,0,0,STABLE
1779,A,081e,0610,SUB,32,0,080e,0000bd25,0000bd25,0,0,0,STABLE
1780,B,082c,0b7c,MUL,46,3,0ba8,0000c533,0000bd25,0,0,0,TRANSITION
1781,C,0540,07c0,MUL,20,2,0500,0000c533,0000c533,0,0,0,STABLE
1782,A,0831,071f,MUL,29,0,0753,0000c533,0000c533,0,0,0,STABLE
1783,B,0827,0ba2,MUL,47,0,0bce,0000cc86,0000c533,0,0,0,TRANSITION
1784,C,0500,07c0,MUL,19,2,04c0,0000cc86,0000cc86,0,0,0,TRANSITION
1785,A,0809,0800,MUL,32,0,0809,0000cc86,0000cc86,0,0,0,STABLE
1786,B,083c,0bd2,MUL,48,2,0c0f,0000d48f,0000cc86,0,0,0,SATURATE
1787,C,04c0,04c0,ADD,19,2,04c0,0000d48f,0000d48f,0,0,0,TRANSITION
1788,A,0809,0910,MUL,36,0,091b,0000d48f,0000d48f,0,0,0,STABLE
1789,B,0822,0c13,MUL,48,3,0c3f,0000ddaa,0000d48f,0,0,0,SATURATE
1790,C,04c0,07c0,MUL,18,2,0480,0000ddaa,0000ddaa,0,0,0,TRANSITION
1791,A,080d,0a1f,MUL,40,0,0a32,0000ddaa,0000ddaa,0,0,0,STABLE
1792,B,0812,0c5a,MUL,49,0,0c73,0000e7dc,0000ddaa,0,0,0,SATURATE
1793,C,0480,07c0,MUL,17,2,0440,0000e7dc,0000e7dc,0,0,0,TRANSITION
1794,A,0829,0930,ADD,33,0,084c,0000e7dc,0000e7dc,0,0,1,STABLE
1795,B,0813,0bd3,MUL,47,2,0beb,0000f028,0000e7dc,0,0,0,TRANSITION
1796,C,0440,07c0,MUL,16,2,0400,0000f028,0000f028,0,0,0,TRANSITION
1797,A,080c,073f,SUB,16,0,0400,0000f028,0000f028,0,0,0,TRANSITION
1798,B,081a,0b98,MUL,29,3,0768,0000f028,0000f028,0,0,0,STABLE
1799,C,0400,0840,MUL,17,2,0440,0000f028,0000f028,0,0,0,TRANSITION
1800,A,0821,0500,MUL,20,0,0521,00000000,0000f028,0,0,0,STABLE
1801,B,0813,0b02,MUL,44,0,0b15,00000521,00000000,0,0,0,TRANSITION
1802,C,0800,07c0,MUL,31,0,07c0,00000521,00000521,0,0,0,STABLE
1803,A,080b,0610,MUL,24,0,061d,00000ce1,00000521,0,0,0,STABLE
1804,B,0818,0b56,MUL,45,2,0b76,000012fe,00000ce1,0,0,0,TRANSITION
1805,C,07c0,07c0,MUL,30,0,0780,000012fe,000012fe,0,0,0,STABLE
1806,A,081b,071f,MUL,29,0,0743,00001a7e,000012fe,0,0,0,STABLE
1807,B,0802,0bb6,MUL,46,3,0bb9,000021c1,00001a7e,0,0,0,TRANSITION
1808,C,0780,07c0,MUL,29,0,0740,000021c1,000021c1,0,0,0,STABLE
1809,A,0819,0800,MUL,32,0,0819,00002901,000021c1,0,0,0,STABLE
1810,B,0816,0bf3,MUL,48,0,0c0d,0000311a,00002901,0,0,0,SATURATE
1811,C,0740,0740,ADD,29,0,0740,0000311a,0000311a,0,0,0,STABLE
1812,A,080c,0910,ADD,32,0,081c,0000385a,0000311a,0,0,0,STABLE
1813,B,0836,0c18,MUL,49,2,0c51,00004076,0000385a,0,0,0,SATURATE
1814,C,0740,07c0,MUL,28,0,0700,00004076,00004076,0,0,0,STABLE
1815,A,0821,0a1f,SUB,32,0,0802,00004776,00004076,0,0,0,STABLE
1816,B,0833,0c42,MUL,49,3,0c76,00004f78,00004776,0,0,0,SATURATE
1817,C,0700,07c0,MUL,27,0,06c0,00004f78,00004f78,0,0,0,STABLE
1818,A,0808,0930,MUL,36,0,093e,00005638,00004f78,0,0,0,STABLE
1819,B,0818,0bd1,MUL,47,0,0bef,00005f76,00005638,0,0,0,TRANSITION
1820,C,06c0,07c0,MUL,26,0,0680,00005f76,00005f76,0,0,0,STABLE
1821,A,0804,073f,MUL,29,0,0743,000065f6,00005f76,0,0,0,STABLE
1822,B,0802,0b88,MUL,46,2,0b8a,00006d39,000065f6,0,0,0,TRANSITION
1823,C,0680,0840,MUL,27,0,06c0,00006d39,00006d39,0,0,0,STABLE
1824,A,0821,0500,MUL,20,0,0521,000073f9,00006d39,0,0,0,STABLE
1825,B,0811,0303,MUL,12,3,0314,0000791a,000073f9,0,0,0,COLLAPSE
1826,C,06c0,07c0,MUL,26,0,0680,0000791a,0000791a,0,0,0,STABLE
1827,A,080c,0610,MUL,24,0,061f,0000791a,0000791a,0,0,0,STABLE
1828,B,0808,0359,MUL,13,0,0364,00007f39,0000791a,0,0,0,COLLAPSE
1829,C,0680,07c0,MUL,25,2,0640,00007f39,00007f39,0,0,0,STABLE
1830,A,0827,071f,ADD,33,0,0843,00007f39,00007f39,0,0,1,STABLE
1831,B,0803,038f,MUL,14,2,0392,0000877c,00007f39,0,0,0,COLLAPSE
1832,C,0640,07c0,MUL,24,2,0600,0000877c,0000877c,0,0,0,STABLE
1833,A,083f,0800,SUB,32,0,083f,0000877c,0000877c,0,0,0,STABLE
1834,B,0819,03fe,MUL,16,3,0417,00008fbb,0000877c,0,0,0,TRANSITION
1835,C,0600,0600,ADD,24,2,0600,00008fbb,00008fbb,0,0,0,STABLE
1836,A,0839,0910,MUL,37,0,094b,00008fbb,00008fbb,0,0,0,STABLE
1837,B,080f,0433,MUL,17,0,0446,00009906,00008fbb,0,0,0,TRANSITION
1838,C,0600,07c0,MUL,23,2,05c0,00009906,00009906,0,0,0,STABLE
1839,A,080c,0a1f,MUL,40,0,0a30,00009906,00009906,0,0,0,STABLE
1840,B,083e,0458,MUL,18,2,0496,0000a336,00009906,0,0,0,TRANSITION
1841,C,05c0,07c0,MUL,22,2,0580,0000a336,0000a336,0,0,0,STABLE
1842,A,0823,0930,MUL,37,0,0956,0000a336,0000a336,0,0,0,STABLE
1843,B,0833,03c7,MUL,15,3,03ff,0000ac8c,0000a336,0,0,0,COLLAPSE
1844,C,0580,07c0,MUL,21,2,0540,0000ac8c,0000ac8c,0,0,0,STABLE
1845,A,081d,073f,MUL,29,0,075c,0000ac8c,0000ac8c,0,0,0,STABLE
1846,B,0818,03bb,MUL,15,0,03d4,0000b3e8,0000ac8c,0,0,0,COLLAPSE
1847,C,0540,0840,MUL,22,2,0580,0000b3e8,0000b3e8,0,0,0,STABLE
1848,A,082e,0500,ADD,32,0,082e,0000b3e8,0000b3e8,0,0,0,STABLE
1849,B,0807,031c,MUL,12,2,0326,0000bc16,0000b3e8,0,0,0,COLLAPSE
1850,C,0580,07c0,MUL,21,2,0540,0000bc16,0000bc16,0,0,0,STABLE
1851,A,0831,0610,SUB,32,0,0821,0000bc16,0000bc16,0,0,0,STABLE
1852,B,083b,0362,MUL,14,3,039e,0000c437,0000bc16,0,0,0,COLLAPSE
1853,C,0540,07c0,MUL,20,2,0500,0000c437,0000c437,0,0,0,STABLE
1854,A,0808,071f,MUL,28,0,072a,0000c437,0000c437,0,0,0,STABLE
1855,B,081c,0390,MUL,14,0,03b3,0000cb61,0000c437,0,0,0,COLLAPSE
1856,C,0500,07c0,MUL,19,2,04c0,0000cb61,0000cb61,0,0,0,TRANSITION
1857,A,0803,0800,MUL,32,0,0803,0000cb61,0000cb61,0,0,0,STABLE
1858,B,0822,03c7,MUL,15,2,03ec,0000d364,0000cb61,0,0,0,COLLAPSE
1859,C,04c0,04c0,ADD,19,2,04c0,0000d364,0000d364,0,0,0,TRANSITION
1860,A,081e,0910,MUL,36,0,0935,0000d364,0000d364,0,0,0,STABLE
1861,B,0810,043c,MUL,17,3,044d,0000dc99,0000d364,0,0,0,TRANSITION
1862,C,04c0,07c0,MUL,18,2,0480,0000dc99,0000dc99,0,0,0,TRANSITION
1863,A,0831,0a1f,MUL,41,0,0a53,0000dc99,0000dc99,0,0,0,STABLE
1864,B,0807,0463,MUL,17,0,046d,0000e6ec,0000dc99,0,0,0,TRANSITION
1865,C,0480,07c0,MUL,17,2,0440,0000e6ec,0000e6ec,0,0,0,TRANSITION
1866,A,080e,0930,ADD,32,0,083e,0000e6ec,0000e6ec,0,0,0,STABLE
1867,B,083c,03dc,MUL,16,2,0419,0000ef2a,0000e6ec,0,0,0,TRANSITION
1868,C,0440,07c0,MUL,16,2,0400,0000ef2a,0000ef2a,0,0,0,TRANSITION
1869,A,0832,073f,SUB,16,0,0400,0000ef2a,0000ef2a,0,0,0,TRANSITION
1870,B,0823,03a5,MUL,31,3,07e6,0000ef2a,0000ef2a,0,0,0,STABLE
1871,C,0400,0840,MUL,17,2,0440,0000ef2a,0000ef2a,0,0,0,TRANSITION
1872,A,0815,0500,MUL,20,0,0515,00000000,0000ef2a,0,0,0,STABLE
1873,B,081c,0b2a,MUL,45,0,0b4c,00000515,00000000,0,0,0,TRANSITION
1874,C,0800,07c0,MUL,31,0,07c0,00000515,00000515,0,0,0,STABLE
1875,A,0828,0610,MUL,25,0,0641,00000cd5,00000515,0,0,0,STABLE
1876,B,0825,0b50,MUL,45,2,0b7e,00001316,00000cd5,0,0,0,TRANSITION
1877,C,07c0,07c0,MUL,30,0,0780,00001316,00001316,0,0,0,STABLE
1878,A,0800,071f,MUL,28,0,071f,00001a96,00001316,0,0,0,STABLE
1879,B,082a,0b81,MUL,46,3,0bab,000021b5,00001a96,0,0,0,TRANSITION
1880,C,0780,07c0,MUL,29,0,0740,000021b5,000021b5,0,0,0,STABLE
1881,A,0807,0800,MUL,32,0,0807,000028f5,000021b5,0,0,0,STABLE
1882,B,0810,0bcf,MUL,47,0,0be2,000030fc,000028f5,0,0,0,TRANSITION
1883,C,0740,0740,ADD,29,0,0740,000030fc,000030fc,0,0,0,STABLE
1884,A,083c,0910,ADD,33,0,0846,0000383c,000030fc,0,0,1,STABLE
1885,B,0801,0c39,MUL,48,2,0c3a,00004082,0000383c,0,0,0,SATURATE
1886,C,0740,07c0,MUL,28,0,0700,00004082,00004082,0,0,0,STABLE
1887,A,0824,0a1f,SUB,32,0,0805,00004782,00004082,0,0,0,STABLE
1888,B,080f,0c49,MUL,49,3,0c5a,00004f87,00004782,0,0,0,SATURATE
1889,C,0700,07c0,MUL,27,0,06c0,00004f87,00004f87,0,0,0,STABLE
1890,A,0825,0930,MUL,37,0,0958,00005647,00004f87,0,0,0,STABLE
1891,B,0839,0bcb,MUL,48,0,0c06,00005f9f,00005647,0,0,0,SATURATE
1892,C,06c0,07c0,MUL,26,0,0680,00005f9f,00005f9f,0,0,0,STABLE
1893,A,082d,073f,MUL,29,0,076c,0000661f,00005f9f,0,0,0,STABLE
1894,B,0809,0b9a,MUL,46,2,0ba6,00006d8b,0000661f,0,0,0,TRANSITION
1895,C,0680,0840,MUL,27,0,06c0,00006d8b,00006d8b,0,0,0,STABLE
1896,A,082b,0500,MUL,20,0,052b,0000744b,00006d8b,0,0,0,STABLE
1897,B,080b,0b17,MUL,44,3,0b25,00007976,0000744b,0,0,0,TRANSITION
1898,C,06c0,07c0,MUL,26,0,0680,00007976,00007976,0,0,0,STABLE
1899,A,081c,0610,MUL,24,0,0633,00007976,00007976,0,0,0,STABLE
1900,B,081a,0b78,MUL,46,0,0b94,00007fa9,00007976,0,0,0,TRANSITION
1901,C,0680,07c0,MUL,25,2,0640,00007fa9,00007fa9,0,0,0,STABLE
1902,A,0822,071f,ADD,33,0,0840,00007fa9,00007fa9,0,0,1,STABLE
1903,B,0817,0b85,MUL,46,2,0b9d,000087e9,00007fa9,0,0,0,TRANSITION
1904,C,0640,07c0,MUL,24,2,0600,000087e9,000087e9,0,0,0,STABLE
1905,A,0815,0800,SUB,32,0,0815,000087e9,000087e9,0,0,0,STABLE
1906,B,0838,0beb,MUL,48,3,0c24,00008ffe,000087e9,0,0,0,SATURATE
1907,C,0600,0600,ADD,24,2,0600,00008ffe,00008ffe,0,0,0,STABLE
1908,A,082e,0910,MUL,37,0,0944,00008ffe,00008ffe,0,0,0,STABLE
1909,B,0805,0c1d,MUL,48,0,0c24,00009942,00008ffe,0,0,0,SATURATE
1910,C,0600,07c0,MUL,23,2,05c0,00009942,00009942,0,0,0,STABLE
1911,A,0834,0a1f,MUL,41,0,0a56,00009942,00009942,0,0,0,STABLE
1912,B,082b,0c68,MUL,50,2,0c96,0000a398,00009942,0,0,0,SATURATE
1913,C,05c0,07c0,MUL,22,2,0580,0000a398,0000a398,0,0,0,STABLE
