source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
rtl,T  ,3,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,0,8,T  ,-0.031250,0.750000,0.281250
rtl,T  ,4,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,5,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,0,8,T  ,-0.093750,0.750000,0.031250
rtl,T  ,6,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,8,0,8,T  ,0.093750,0.750000,0.156250
rtl,T  ,7,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,8,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,8,0,8,T  ,0.093750,0.750000,0.406250
rtl,T  ,9,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,8,0,8,T  ,-0.093750,0.750000,0.218750
rtl,T  ,10,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,11,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,12,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,8,0,8,T  ,0.093750,0.750000,0.281250
rtl,T  ,13,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,14,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,15,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,8,0,8,T  ,0.031250,0.750000,0.218750
rtl,T  ,16,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,17,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,8,0,8,T  ,0.093750,0.750000,0.218750
rtl,T  ,18,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,8,0,8,T  ,0.031250,0.750000,0.156250
rtl,T  ,19,8,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,8,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,13,0,13,T  ,0.062500,0.593750,0.187500
rtl,T  ,0,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,0,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,1,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,1,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,13,0,13,T  ,-0.062500,0.593750,0.062500
rtl,T  ,2,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,2,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,13,0,13,T  ,0.000000,0.593750,0.125000
rtl,T  ,3,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,3,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,13,0,13,T  ,0.000000,0.593750,0.187500
rtl,T  ,4,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,4,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,13,0,13,T  ,0.187500,0.593750,0.125000
rtl,T  ,5,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,5,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,13,0,13,T  ,0.000000,0.593750,0.250000
rtl,T  ,6,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,6,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,7,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,7,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,13,0,13,T  ,0.062500,0.593750,0.312500
rtl,T  ,8,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,8,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,13,0,13,T  ,0.062500,0.593750,0.375000
rtl,T  ,9,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,9,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,13,0,13,T  ,0.125000,0.593750,0.187500
rtl,T  ,10,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,10,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,11,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,11,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,13,0,13,T  ,-0.062500,0.593750,0.250000
rtl,T  ,12,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,12,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,13,0,13,T  ,0.062500,0.593750,0.437500
